seed,x_T,failed,time_since_last_burst
255,0.7291841611486924,1,5
256,0.9782400072605938,1,0
257,0.39764340056499725,0,9
258,1.0,1,11
259,0.49795368238245075,0,10
260,-0.3637481560980606,0,9
261,-0.17107752872280257,0,5
262,-0.9400247543587787,0,2
263,0.5965776644982357,1,0
264,1.0,1,14
265,1.0,1,19
266,1.0,1,27
267,1.0,1,13
268,1.0,1,3
269,-0.08238892633748196,0,11
270,-1.0,0,1
271,1.0,1,19
272,0.2782159700656049,0,1
273,1.0,1,17
274,-1.0,0,4
275,0.28749541948084156,0,12
276,-0.35559482855646624,0,5
277,1.0,1,21
278,1.0,1,27
279,0.9784016065086081,1,1
280,0.6061505417985462,1,2
281,1.0,1,13
282,1.0,1,8
283,-1.0,0,2
284,0.9458760933471707,1,0
285,0.7755632348323654,1,4
286,-1.0,0,6
287,1.0,1,12
288,-0.7704782494541615,0,8
289,1.0,1,15
290,-1.0,0,7
291,1.0,1,10
292,-0.24867922515802576,0,2
293,1.0,1,4
294,0.33272143352426425,0,4
295,0.5457822122479422,1,2
296,1.0,1,27
297,1.0,1,20
298,0.9012872461768245,1,1
299,-1.0,0,8
300,0.944011905488716,1,3
301,1.0,1,28
302,-0.8975812024104263,0,9
303,1.0,1,6
304,0.9872529349709327,1,2
305,-1.0,0,8
306,-1.0,0,6
307,0.561494785321823,1,5
308,1.0,1,10
309,0.988872060743813,1,2
310,-0.13900206911697155,0,8
311,0.5640235426268169,1,6
312,1.0,1,12
313,0.7918977026021159,1,8
314,0.9746505444806205,1,0
315,-0.07342880389500275,0,4
316,-0.23163241757388509,0,3
317,0.6205891828813084,1,0
318,-1.0,0,7
319,0.7245676015287987,1,3
320,-0.05940828560863462,0,1
321,1.0,1,6
322,0.6293947022597244,1,1
323,1.0,1,24
324,0.9720779387506991,1,0
325,1.0,1,28
326,-0.8555681729389186,0,5
327,-1.0,0,4
328,-1.0,0,0
329,1.0,1,26
330,1.0,1,16
331,-1.0,0,5
332,1.0,1,31
333,1.0,1,20
334,-1.0,0,0
335,-0.5968014241377904,0,7
336,-0.9946694706632286,0,4
337,-0.22585642884116752,0,6
338,-1.0,0,4
339,0.878638835509474,1,0
340,-0.155332322727665,0,14
341,1.0,1,25
342,1.0,1,16
343,-0.9873260748475081,0,2
344,-1.0,0,5
345,1.0,1,25
346,-1.0,0,9
347,1.0,1,22
348,0.37759156941791927,0,4
349,1.0,1,10
350,1.0,1,44
351,-0.7070488307168267,0,9
352,1.0,1,10
353,0.4188939265712637,0,11
354,-0.2963995724078344,0,11
355,0.03206344472949707,0,4
356,0.5892659864303669,1,17
357,0.9064346417075168,1,1
358,-0.900042629242744,0,6
359,-0.8918340436345502,0,0
360,-0.6676302877525284,0,12
361,-1.0,0,2
362,0.9874009348734242,1,4
363,-0.7934423280746178,0,11
364,1.0,1,15
365,0.15139983044394337,0,11
366,0.021726008185170106,0,2
367,0.9030096149784228,1,3
368,0.51623785187538,1,2
369,1.0,1,20
370,0.8808041450083104,1,1
371,0.9318646708829678,1,0
372,-0.8724280536080928,0,7
373,-0.0969139274900978,0,3
374,-1.0,0,9
375,-0.16718319258922087,0,13
376,0.2094186228177769,0,13
377,1.0,1,25
378,0.987162638641175,1,1
379,1.0,1,23
380,1.0,1,7
381,1.0,1,15
382,0.8784244378594006,1,13
383,0.3158299468582332,0,0
384,1.0,1,15
385,-1.0,0,5
386,1.0,1,3
387,-0.8351295849355775,0,9
388,1.0,1,19
389,-0.16120514875756714,0,12
390,-0.9284331483473888,0,0
391,0.5663785747895008,1,1
392,0.8058817085108563,1,16
393,-0.9204927540890239,0,11
394,-1.0,0,4
395,0.7915224075803381,1,4
396,0.06336958844190685,0,2
397,0.25395417139789106,0,5
398,-0.38134850325900804,0,0
399,1.0,1,19
400,1.0,1,19
401,0.20968236425575917,0,3
402,1.0,1,20
403,0.14638766573773843,0,11
404,0.8398764266765562,1,2
